Tracker,Avg FPS,Total IDs,ID Switches,Lost Tracks,mAP50
RF-DETR+SORT,3.934455301268784,61,0,0,0.6322889079877321
SORT,57.82593425204701,40,0,1,0.5517680998236658
SimpleIoU,33.63674843732483,93,0,1,0.5517680998236658
ByteTrack,8.776697553771893,25,0,1,0.5517680998236658
BoT-SORT,19.09939824369317,25,0,2,0.5517680998236658
